Latitude,Longitude,Year-Month,Temperature
53.5,6.75,1993-01,277.574
53.5,6.75,1993-02,277.653
53.5,6.75,1993-03,277.849
53.5,6.75,1993-04,280.454
53.5,6.75,1993-05,284.932
53.5,6.75,1993-06,288.246
53.5,6.75,1993-07,290.092
53.5,6.75,1993-08,290.191
53.5,6.75,1993-09,288.240
53.5,6.75,1993-10,285.492
53.5,6.75,1993-11,281.444
53.5,6.75,1993-12,278.104
53.5,6.75,1994-01,277.804
53.5,6.75,1994-02,276.438
53.5,6.75,1994-03,277.435
53.5,6.75,1994-04,280.852
53.5,6.75,1994-05,284.464
53.5,6.75,1994-06,287.630
53.5,6.75,1994-07,292.976
53.5,6.75,1994-08,293.058
53.5,6.75,1994-09,288.989
53.5,6.75,1994-10,285.576
53.5,6.75,1994-11,282.581
53.5,6.75,1994-12,281.188
53.5,6.75,1995-01,278.576
53.5,6.75,1995-02,278.630
53.5,6.75,1995-03,278.929
53.5,6.75,1995-04,281.057
53.5,6.75,1995-05,284.348
53.5,6.75,1995-06,287.718
53.5,6.75,1995-07,291.705
53.5,6.75,1995-08,293.616
53.5,6.75,1995-09,289.757
53.5,6.75,1995-10,286.777
53.5,6.75,1995-11,283.045
53.5,6.75,1995-12,279.018
53.5,6.75,1996-01,276.316
53.5,6.75,1996-02,273.388
53.5,6.75,1996-03,274.036
53.5,6.75,1996-04,278.074
53.5,6.75,1996-05,281.743
53.5,6.75,1996-06,286.386
53.5,6.75,1996-07,289.335
53.5,6.75,1996-08,291.809
53.5,6.75,1996-09,289.173
53.5,6.75,1996-10,286.007
53.5,6.75,1996-11,283.010
53.5,6.75,1996-12,278.849
53.5,6.75,1997-01,274.992
53.5,6.75,1997-02,275.570
53.5,6.75,1997-03,278.644
53.5,6.75,1997-04,280.995
53.5,6.75,1997-05,283.869
53.5,6.75,1997-06,288.165
53.5,6.75,1997-07,291.503
53.5,6.75,1997-08,294.039
53.5,6.75,1997-09,290.764
53.5,6.75,1997-10,286.307
53.5,6.75,1997-11,281.685
53.5,6.75,1997-12,279.262
53.5,6.75,1998-01,278.458
53.5,6.75,1998-02,277.437
53.5,6.75,1998-03,279.299
53.5,6.75,1998-04,281.647
53.5,6.75,1998-05,285.222
53.5,6.75,1998-06,288.741
53.5,6.75,1998-07,290.281
53.5,6.75,1998-08,291.344
53.5,6.75,1998-09,288.970
53.5,6.75,1998-10,285.431
53.5,6.75,1998-11,281.906
53.5,6.75,1998-12,278.722
53.5,6.75,1999-01,278.102
53.5,6.75,1999-02,277.269
53.5,6.75,1999-03,278.735
53.5,6.75,1999-04,282.081
53.5,6.75,1999-05,285.484
53.5,6.75,1999-06,289.159
53.5,6.75,1999-07,291.482
53.5,6.75,1999-08,292.307
53.5,6.75,1999-09,291.612
53.5,6.75,1999-10,287.130
53.5,6.75,1999-11,282.793
53.5,6.75,1999-12,280.127
53.5,6.75,2000-01,277.975
53.5,6.75,2000-02,278.465
53.5,6.75,2000-03,279.258
53.5,6.75,2000-04,281.518
53.5,6.75,2000-05,285.824
53.5,6.75,2000-06,288.582
53.5,6.75,2000-07,289.387
53.5,6.75,2000-08,291.673
53.5,6.75,2000-09,290.124
53.5,6.75,2000-10,286.798
53.5,6.75,2000-11,282.519
53.5,6.75,2000-12,280.694
53.5,6.75,2001-01,277.886
53.5,6.75,2001-02,277.375
53.5,6.75,2001-03,277.535
53.5,6.75,2001-04,280.218
53.5,6.75,2001-05,284.079
53.5,6.75,2001-06,287.825
53.5,6.75,2001-07,291.505
53.5,6.75,2001-08,292.584
53.5,6.75,2001-09,289.471
53.5,6.75,2001-10,287.558
53.5,6.75,2001-11,284.024
53.5,6.75,2001-12,280.509
53.5,6.75,2002-01,277.645
53.5,6.75,2002-02,279.263
53.5,6.75,2002-03,279.550
53.5,6.75,2002-04,281.845
53.5,6.75,2002-05,284.898
53.5,6.75,2002-06,289.144
53.5,6.75,2002-07,290.576
53.5,6.75,2002-08,293.492
53.5,6.75,2002-09,291.608
53.5,6.75,2002-10,286.419
53.5,6.75,2002-11,282.545
53.5,6.75,2002-12,278.886
53.5,6.75,2003-01,276.830
53.5,6.75,2003-02,276.016
53.5,6.75,2003-03,277.900
53.5,6.75,2003-04,280.989
53.5,6.75,2003-05,285.320
53.5,6.75,2003-06,290.061
53.5,6.75,2003-07,292.471
53.5,6.75,2003-08,294.277
53.5,6.75,2003-09,290.752
53.5,6.75,2003-10,286.196
53.5,6.75,2003-11,281.187
53.5,6.75,2003-12,279.329
53.5,6.75,2004-01,277.637
53.5,6.75,2004-02,278.112
53.5,6.75,2004-03,278.211
53.5,6.75,2004-04,282.052
53.5,6.75,2004-05,285.258
53.5,6.75,2004-06,288.889
53.5,6.75,2004-07,290.717
53.5,6.75,2004-08,293.388
53.5,6.75,2004-09,289.787
53.5,6.75,2004-10,285.968
53.5,6.75,2004-11,282.802
53.5,6.75,2004-12,279.901
53.5,6.75,2005-01,279.097
53.5,6.75,2005-02,276.943
53.5,6.75,2005-03,276.895
53.5,6.75,2005-04,281.351
53.5,6.75,2005-05,284.554
53.5,6.75,2005-06,288.096
53.5,6.75,2005-07,291.849
53.5,6.75,2005-08,290.658
53.5,6.75,2005-09,290.397
53.5,6.75,2005-10,287.297
53.5,6.75,2005-11,284.464
53.5,6.75,2005-12,280.695
53.5,6.75,2006-01,277.080
53.5,6.75,2006-02,275.855
53.5,6.75,2006-03,275.782
53.5,6.75,2006-04,280.342
53.5,6.75,2006-05,284.489
53.5,6.75,2006-06,288.247
53.5,6.75,2006-07,293.442
53.5,6.75,2006-08,293.046
53.5,6.75,2006-09,290.910
53.5,6.75,2006-10,288.763
53.5,6.75,2006-11,284.497
53.5,6.75,2006-12,281.732
53.5,6.75,2007-01,280.366
53.5,6.75,2007-02,279.007
53.5,6.75,2007-03,280.361
53.5,6.75,2007-04,283.734
53.5,6.75,2007-05,286.606
53.5,6.75,2007-06,290.122
53.5,6.75,2007-07,291.171
53.5,6.75,2007-08,291.731
53.5,6.75,2007-09,289.323
53.5,6.75,2007-10,286.454
53.5,6.75,2007-11,282.672
53.5,6.75,2007-12,279.861
53.5,6.75,2008-01,278.092
53.5,6.75,2008-02,278.315
53.5,6.75,2008-03,279.274
53.5,6.75,2008-04,281.476
53.5,6.75,2008-05,286.067
53.5,6.75,2008-06,289.011
53.5,6.75,2008-07,291.209
53.5,6.75,2008-08,291.805
53.5,6.75,2008-09,289.874
53.5,6.75,2008-10,286.326
53.5,6.75,2008-11,282.888
53.5,6.75,2008-12,279.246
53.5,6.75,2009-01,276.765
53.5,6.75,2009-02,275.137
53.5,6.75,2009-03,277.814
53.5,6.75,2009-04,281.930
53.5,6.75,2009-05,285.394
53.5,6.75,2009-06,288.744
53.5,6.75,2009-07,291.899
53.5,6.75,2009-08,292.565
53.5,6.75,2009-09,290.115
53.5,6.75,2009-10,286.292
53.5,6.75,2009-11,283.266
53.5,6.75,2009-12,280.394
53.5,6.75,2010-01,276.904
53.5,6.75,2010-02,274.307
53.5,6.75,2010-03,276.047
53.5,6.75,2010-04,281.102
53.5,6.75,2010-05,283.861
53.5,6.75,2010-06,287.794
53.5,6.75,2010-07,292.424
53.5,6.75,2010-08,292.305
53.5,6.75,2010-09,289.168
53.5,6.75,2010-10,286.173
53.5,6.75,2010-11,282.521
53.0,4.75,1993-01,278.931
53.0,4.75,1993-02,278.437
53.0,4.75,1993-03,278.248
53.0,4.75,1993-04,280.845
53.0,4.75,1993-05,285.112
53.0,4.75,1993-06,288.363
53.0,4.75,1993-07,290.053
53.0,4.75,1993-08,290.456
53.0,4.75,1993-09,288.976
53.0,4.75,1993-10,286.535
53.0,4.75,1993-11,282.373
53.0,4.75,1993-12,279.252
53.0,4.75,1994-01,278.729
53.0,4.75,1994-02,277.550
53.0,4.75,1994-03,278.306
53.0,4.75,1994-04,280.921
53.0,4.75,1994-05,284.473
53.0,4.75,1994-06,287.242
53.0,4.75,1994-07,291.740
53.0,4.75,1994-08,292.487
53.0,4.75,1994-09,289.424
53.0,4.75,1994-10,286.425
53.0,4.75,1994-11,284.484
53.0,4.75,1994-12,282.519
53.0,4.75,1995-01,279.566
53.0,4.75,1995-02,279.580
53.0,4.75,1995-03,279.679
53.0,4.75,1995-04,281.507
53.0,4.75,1995-05,284.718
53.0,4.75,1995-06,287.374
53.0,4.75,1995-07,290.963
53.0,4.75,1995-08,293.140
53.0,4.75,1995-09,290.488
53.0,4.75,1995-10,288.244
53.0,4.75,1995-11,284.767
53.0,4.75,1995-12,280.360
53.0,4.75,1996-01,277.870
53.0,4.75,1996-02,274.847
53.0,4.75,1996-03,275.359
53.0,4.75,1996-04,278.810
53.0,4.75,1996-05,282.489
53.0,4.75,1996-06,286.696
53.0,4.75,1996-07,289.159
53.0,4.75,1996-08,291.220
53.0,4.75,1996-09,289.212
53.0,4.75,1996-10,286.969
53.0,4.75,1996-11,283.855
53.0,4.75,1996-12,279.535
53.0,4.75,1997-01,275.139
53.0,4.75,1997-02,276.545
53.0,4.75,1997-03,278.992
53.0,4.75,1997-04,280.753
53.0,4.75,1997-05,284.045
53.0,4.75,1997-06,287.946
53.0,4.75,1997-07,290.636
53.0,4.75,1997-08,293.233
53.0,4.75,1997-09,291.061
53.0,4.75,1997-10,287.626
53.0,4.75,1997-11,283.675
53.0,4.75,1997-12,280.737
53.0,4.75,1998-01,279.464
53.0,4.75,1998-02,278.733
53.0,4.75,1998-03,279.798
53.0,4.75,1998-04,281.743
53.0,4.75,1998-05,285.499
53.0,4.75,1998-06,288.344
53.0,4.75,1998-07,289.998
53.0,4.75,1998-08,291.282
53.0,4.75,1998-09,289.694
53.0,4.75,1998-10,286.655
53.0,4.75,1998-11,282.659
53.0,4.75,1998-12,279.810
53.0,4.75,1999-01,279.131
53.0,4.75,1999-02,278.258
53.0,4.75,1999-03,279.441
53.0,4.75,1999-04,282.211
53.0,4.75,1999-05,285.644
53.0,4.75,1999-06,288.869
53.0,4.75,1999-07,291.276
53.0,4.75,1999-08,292.091
53.0,4.75,1999-09,291.963
53.0,4.75,1999-10,287.511
53.0,4.75,1999-11,284.043
53.0,4.75,1999-12,280.624
53.0,4.75,2000-01,278.805
53.0,4.75,2000-02,278.895
53.0,4.75,2000-03,279.629
53.0,4.75,2000-04,281.450
53.0,4.75,2000-05,285.304
53.0,4.75,2000-06,288.229
53.0,4.75,2000-07,289.250
53.0,4.75,2000-08,291.700
53.0,4.75,2000-09,290.732
53.0,4.75,2000-10,287.835
53.0,4.75,2000-11,283.666
53.0,4.75,2000-12,281.589
53.0,4.75,2001-01,278.834
53.0,4.75,2001-02,278.537
53.0,4.75,2001-03,278.426
53.0,4.75,2001-04,280.662
53.0,4.75,2001-05,284.266
53.0,4.75,2001-06,288.056
53.0,4.75,2001-07,291.163
53.0,4.75,2001-08,292.450
53.0,4.75,2001-09,289.564
53.0,4.75,2001-10,288.401
53.0,4.75,2001-11,284.685
53.0,4.75,2001-12,281.461
53.0,4.75,2002-01,278.437
53.0,4.75,2002-02,279.545
53.0,4.75,2002-03,280.107
53.0,4.75,2002-04,282.114
53.0,4.75,2002-05,285.061
53.0,4.75,2002-06,288.667
53.0,4.75,2002-07,290.214
53.0,4.75,2002-08,292.921
53.0,4.75,2002-09,291.630
53.0,4.75,2002-10,287.382
53.0,4.75,2002-11,284.077
53.0,4.75,2002-12,280.692
53.0,4.75,2003-01,278.688
53.0,4.75,2003-02,277.538
53.0,4.75,2003-03,278.891
53.0,4.75,2003-04,281.419
53.0,4.75,2003-05,285.178
53.0,4.75,2003-06,289.543
53.0,4.75,2003-07,291.875
53.0,4.75,2003-08,293.475
53.0,4.75,2003-09,291.379
53.0,4.75,2003-10,286.797
53.0,4.75,2003-11,282.931
53.0,4.75,2003-12,280.912
53.0,4.75,2004-01,278.934
53.0,4.75,2004-02,278.749
53.0,4.75,2004-03,278.720
53.0,4.75,2004-04,281.976
53.0,4.75,2004-05,285.004
53.0,4.75,2004-06,288.351
53.0,4.75,2004-07,290.580
53.0,4.75,2004-08,292.646
53.0,4.75,2004-09,290.352
53.0,4.75,2004-10,287.051
53.0,4.75,2004-11,284.135
53.0,4.75,2004-12,281.033
53.0,4.75,2005-01,279.721
53.0,4.75,2005-02,278.107
53.0,4.75,2005-03,277.626
53.0,4.75,2005-04,281.281
53.0,4.75,2005-05,284.028
53.0,4.75,2005-06,287.733
53.0,4.75,2005-07,290.560
53.0,4.75,2005-08,290.814
53.0,4.75,2005-09,291.341
53.0,4.75,2005-10,288.617
53.0,4.75,2005-11,285.692
53.0,4.75,2005-12,281.342
53.0,4.75,2006-01,278.453
53.0,4.75,2006-02,277.163
53.0,4.75,2006-03,276.982
53.0,4.75,2006-04,280.502
53.0,4.75,2006-05,284.232
53.0,4.75,2006-06,287.989
53.0,4.75,2006-07,292.253
53.0,4.75,2006-08,292.240
53.0,4.75,2006-09,291.626
53.0,4.75,2006-10,289.511
53.0,4.75,2006-11,285.426
53.0,4.75,2006-12,282.686
53.0,4.75,2007-01,281.152
53.0,4.75,2007-02,279.816
53.0,4.75,2007-03,280.863
53.0,4.75,2007-04,283.532
53.0,4.75,2007-05,286.551
53.0,4.75,2007-06,289.718
53.0,4.75,2007-07,290.745
53.0,4.75,2007-08,291.741
53.0,4.75,2007-09,290.087
53.0,4.75,2007-10,287.536
53.0,4.75,2007-11,283.584
53.0,4.75,2007-12,280.845
53.0,4.75,2008-01,279.221
53.0,4.75,2008-02,279.069
53.0,4.75,2008-03,279.578
53.0,4.75,2008-04,281.409
53.0,4.75,2008-05,285.771
53.0,4.75,2008-06,288.845
53.0,4.75,2008-07,290.874
53.0,4.75,2008-08,291.716
53.0,4.75,2008-09,290.281
53.0,4.75,2008-10,287.010
53.0,4.75,2008-11,283.676
53.0,4.75,2008-12,280.213
53.0,4.75,2009-01,277.688
53.0,4.75,2009-02,276.509
53.0,4.75,2009-03,278.494
53.0,4.75,2009-04,282.151
53.0,4.75,2009-05,285.399
53.0,4.75,2009-06,288.729
53.0,4.75,2009-07,291.612
53.0,4.75,2009-08,292.674
53.0,4.75,2009-09,290.442
53.0,4.75,2009-10,287.047
53.0,4.75,2009-11,284.670
53.0,4.75,2009-12,281.316
53.0,4.75,2010-01,277.534
53.0,4.75,2010-02,276.344
53.0,4.75,2010-03,277.453
53.0,4.75,2010-04,281.033
53.0,4.75,2010-05,283.725
53.0,4.75,2010-06,287.621
53.0,4.75,2010-07,291.376
53.0,4.75,2010-08,291.628
53.0,4.75,2010-09,289.495
53.0,4.75,2010-10,287.137
53.0,4.75,2010-11,283.525
53.75,8.5,1993-01,276.900
53.75,8.5,1993-02,276.628
53.75,8.5,1993-03,277.458
53.75,8.5,1993-04,280.721
53.75,8.5,1993-05,285.996
53.75,8.5,1993-06,288.644
53.75,8.5,1993-07,289.921
53.75,8.5,1993-08,289.721
53.75,8.5,1993-09,287.669
53.75,8.5,1993-10,284.695
53.75,8.5,1993-11,281.057
53.75,8.5,1993-12,277.264
53.75,8.5,1994-01,277.106
53.75,8.5,1994-02,276.017
53.75,8.5,1994-03,277.553
53.75,8.5,1994-04,281.152
53.75,8.5,1994-05,285.317
53.75,8.5,1994-06,288.058
53.75,8.5,1994-07,293.666
53.75,8.5,1994-08,292.928
53.75,8.5,1994-09,288.702
53.75,8.5,1994-10,284.951
53.75,8.5,1994-11,282.150
53.75,8.5,1994-12,280.570
53.75,8.5,1995-01,278.046
53.75,8.5,1995-02,278.180
53.75,8.5,1995-03,278.247
53.75,8.5,1995-04,280.990
53.75,8.5,1995-05,284.825
53.75,8.5,1995-06,288.174
53.75,8.5,1995-07,292.702
53.75,8.5,1995-08,294.023
53.75,8.5,1995-09,289.541
53.75,8.5,1995-10,286.260
53.75,8.5,1995-11,281.612
53.75,8.5,1995-12,278.324
53.75,8.5,1996-01,275.881
53.75,8.5,1996-02,273.335
53.75,8.5,1996-03,274.443
53.75,8.5,1996-04,278.838
53.75,8.5,1996-05,283.196
53.75,8.5,1996-06,287.241
53.75,8.5,1996-07,289.496
53.75,8.5,1996-08,292.007
53.75,8.5,1996-09,288.616
53.75,8.5,1996-10,285.454
53.75,8.5,1996-11,281.983
53.75,8.5,1996-12,277.568
53.75,8.5,1997-01,274.864
53.75,8.5,1997-02,276.066
53.75,8.5,1997-03,279.023
53.75,8.5,1997-04,281.021
53.75,8.5,1997-05,284.479
53.75,8.5,1997-06,289.171
53.75,8.5,1997-07,292.195
53.75,8.5,1997-08,294.494
53.75,8.5,1997-09,290.356
53.75,8.5,1997-10,285.657
53.75,8.5,1997-11,280.815
53.75,8.5,1997-12,278.430
53.75,8.5,1998-01,277.668
53.75,8.5,1998-02,276.891
53.75,8.5,1998-03,279.066
53.75,8.5,1998-04,281.799
53.75,8.5,1998-05,286.557
53.75,8.5,1998-06,289.415
53.75,8.5,1998-07,290.555
53.75,8.5,1998-08,291.302
53.75,8.5,1998-09,288.588
53.75,8.5,1998-10,284.598
53.75,8.5,1998-11,280.677
53.75,8.5,1998-12,277.506
53.75,8.5,1999-01,277.156
53.75,8.5,1999-02,276.405
53.75,8.5,1999-03,278.285
53.75,8.5,1999-04,282.585
53.75,8.5,1999-05,285.900
53.75,8.5,1999-06,289.824
53.75,8.5,1999-07,292.441
53.75,8.5,1999-08,292.377
53.75,8.5,1999-09,291.713
53.75,8.5,1999-10,286.123
53.75,8.5,1999-11,281.918
53.75,8.5,1999-12,278.424
53.75,8.5,2000-01,277.420
53.75,8.5,2000-02,277.888
53.75,8.5,2000-03,279.381
53.75,8.5,2000-04,281.830
53.75,8.5,2000-05,287.553
53.75,8.5,2000-06,289.602
53.75,8.5,2000-07,289.766
53.75,8.5,2000-08,291.595
53.75,8.5,2000-09,289.456
53.75,8.5,2000-10,286.195
53.75,8.5,2000-11,282.408
53.75,8.5,2000-12,280.134
53.75,8.5,2001-01,277.248
53.75,8.5,2001-02,276.884
53.75,8.5,2001-03,277.276
53.75,8.5,2001-04,279.983
53.75,8.5,2001-05,285.117
53.75,8.5,2001-06,288.459
53.75,8.5,2001-07,292.423
53.75,8.5,2001-08,293.070
53.75,8.5,2001-09,289.074
53.75,8.5,2001-10,287.125
53.75,8.5,2001-11,283.026
53.75,8.5,2001-12,279.279
53.75,8.5,2002-01,276.544
53.75,8.5,2002-02,279.030
53.75,8.5,2002-03,279.149
53.75,8.5,2002-04,281.932
53.75,8.5,2002-05,286.118
53.75,8.5,2002-06,290.315
53.75,8.5,2002-07,291.182
53.75,8.5,2002-08,293.927
53.75,8.5,2002-09,291.375
53.75,8.5,2002-10,285.557
53.75,8.5,2002-11,280.778
53.75,8.5,2002-12,278.403
53.75,8.5,2003-01,275.220
53.75,8.5,2003-02,274.904
53.75,8.5,2003-03,277.911
53.75,8.5,2003-04,281.378
53.75,8.5,2003-05,286.161
53.75,8.5,2003-06,291.363
53.75,8.5,2003-07,293.233
53.75,8.5,2003-08,294.292
53.75,8.5,2003-09,290.117
53.75,8.5,2003-10,284.968
53.75,8.5,2003-11,281.138
53.75,8.5,2003-12,278.648
53.75,8.5,2004-01,276.669
53.75,8.5,2004-02,277.430
53.75,8.5,2004-03,278.175
53.75,8.5,2004-04,282.293
53.75,8.5,2004-05,285.727
53.75,8.5,2004-06,289.306
53.75,8.5,2004-07,290.745
53.75,8.5,2004-08,293.780
53.75,8.5,2004-09,289.628
53.75,8.5,2004-10,285.276
53.75,8.5,2004-11,281.867
53.75,8.5,2004-12,279.040
53.75,8.5,2005-01,278.257
53.75,8.5,2005-02,275.937
53.75,8.5,2005-03,276.526
53.75,8.5,2005-04,281.841
53.75,8.5,2005-05,285.451
53.75,8.5,2005-06,288.792
53.75,8.5,2005-07,292.347
53.75,8.5,2005-08,290.926
53.75,8.5,2005-09,290.553
53.75,8.5,2005-10,286.775
53.75,8.5,2005-11,283.968
53.75,8.5,2005-12,279.445
53.75,8.5,2006-01,276.534
53.75,8.5,2006-02,275.252
53.75,8.5,2006-03,275.629
53.75,8.5,2006-04,280.627
53.75,8.5,2006-05,285.604
53.75,8.5,2006-06,289.658
53.75,8.5,2006-07,294.675
53.75,8.5,2006-08,293.113
53.75,8.5,2006-09,290.870
53.75,8.5,2006-10,287.981
